EntityTypeName,PropertyName,PropertyDataType,IsIdentifier,IsDisplayName,IsTimeseries
Scenario,ScenarioId,String,True,False,False
Scenario,ScenarioName,String,False,True,False
Scenario,Classification,String,False,False,False
TestEvent,TestEventId,String,True,False,False
TestEvent,ScenarioId,String,False,False,False
TestEvent,TestEventName,String,False,True,False
TestEvent,Classification,String,False,False,False
SystemInstance,SystemInstanceId,String,True,False,False
SystemInstance,SiteId,String,False,False,False
SystemInstance,SystemFamily,String,False,True,False
SystemInstance,LatestReadinessState,String,False,False,False
SystemInstance,HealthScore,Double,False,False,False
TestObjective,TestObjectiveId,String,True,False,False
TestObjective,TestObjectiveName,String,False,True,False
TestObjective,ObjectiveStatus,String,False,False,False
TestObjective,ObjectiveScore,Double,False,False,False
Finding,FindingId,String,True,False,False
Finding,TestEventId,String,False,False,False
Finding,TestObjectiveId,String,False,False,False
Finding,FindingTitle,String,False,True,False
Finding,FindingStatus,String,False,False,False
Finding,Severity,String,False,False,False
Finding,FindingSummary,String,False,False,False
Finding,EvidenceRecordIdsJson,String,False,False,False
Finding,CorrectiveActionId,String,False,False,False
CorrectiveAction,CorrectiveActionId,String,True,False,False
CorrectiveAction,FindingId,String,False,False,False
CorrectiveAction,ActionTitle,String,False,True,False
CorrectiveAction,ActionStatus,String,False,False,False
CorrectiveAction,OwnerRole,String,False,False,False
CorrectiveAction,DueTimeUtc,DateTime,False,False,False
Observation,ObservationId,String,True,True,False
Observation,TrackId,String,False,False,True
Observation,SystemInstanceId,String,False,False,True
Observation,ObservationType,String,False,False,True
Observation,ObservationTimeUtc,DateTime,False,False,True
Observation,QualityScore,Double,False,False,True
CommandEvent,CommandEventId,String,True,True,False
CommandEvent,TrackId,String,False,False,True
CommandEvent,SystemInstanceId,String,False,False,True
CommandEvent,ActionName,String,False,False,True
CommandEvent,ActionStatus,String,False,False,True
CommandEvent,EventTimeUtc,DateTime,False,False,True
CommandEvent,ProcessingDelayMs,BigInt,False,False,True
